Rank,Player,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FGM,Pts Agn,Tack,Pts
121,"Floyd, Malcom",SDC,DET,WR,0.0,0.0,0.0,0.0,3.5,54.1,0.3,0.0,0.0,0.0,10.8
122,"Bennett, Martellus",CHI,GBP,TE,0.0,0.0,0.0,0.0,4.4,47.4,0.3,0.0,0.0,0.0,10.8
123,"Graham, Jimmy",SEA,@STL,TE,0.0,0.0,0.0,0.0,3.7,45.4,0.4,0.0,0.0,0.0,10.8
124,"Ravens, Baltimore",BAL,@DEN,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,0.0,10.7
125,"Martin, Doug",TBB,TEN,RB,0.0,0.0,70.0,0.1,1.8,11.0,0.0,0.0,0.0,0.0,10.7
126,"Titans, Tennessee",TEN,@TBB,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.0,10.7
127,"Crowell, Isaiah",CLE,@NYJ,RB,0.0,0.0,46.7,0.6,1.2,11.4,0.1,0.0,0.0,0.0,10.6
128,"Johnson, Steve",SDC,DET,WR,0.0,0.0,0.4,0.0,3.9,47.4,0.3,0.0,0.0,0.0,10.6
129,"Gordon, Melvin",SDC,DET,RB,0.0,0.0,45.4,0.3,1.9,17.3,0.1,0.0,0.0,0.0,10.6
130,"Chargers, San Diego",SDC,DET,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,10.5
131,"Foles, Nick",STL,SEA,QB,189.0,1.1,6.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.4
132,"Brown, John",ARZ,NOR,WR,0.0,0.0,-0.3,0.0,3.8,52.0,0.2,0.0,0.0,0.0,10.4
133,"Falcons, Atlanta",ATL,PHI,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,10.4
134,"Helu, Roy",OAK,CIN,RB,0.0,0.0,23.2,0.1,3.4,31.6,0.2,0.0,0.0,0.0,10.3
135,"Saints, New Orleans",NOR,@ARZ,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,10.3
136,"Daniels, Owen",DEN,BAL,TE,0.0,0.0,0.0,0.0,3.5,41.2,0.4,0.0,0.0,0.0,10.2
137,"Amendola, Danny",NEP,PIT,WR,0.0,0.0,0.3,0.0,4.5,43.4,0.2,0.0,0.0,0.0,10.2
138,"Witten, Jason",DAL,NYG,TE,0.0,0.0,0.0,0.0,3.8,44.5,0.3,0.0,0.0,0.0,10.2
139,"Floyd, Michael",ARZ,NOR,WR,0.0,0.0,0.1,0.0,3.0,51.0,0.4,0.0,0.0,0.0,10.1
140,"Chiefs, Kansas City",KCC,@HOU,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,10.1
141,"Jaguars, Jacksonville",JAC,CAR,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.0,10.1
142,"Watkins, Sammy",BUF,IND,WR,0.0,0.0,0.8,0.0,3.3,51.1,0.3,0.0,0.0,0.0,10.1
143,"Bernard, Giovani",CIN,@OAK,RB,0.0,0.0,38.0,0.2,2.6,20.5,0.1,0.0,0.0,0.0,10.1
144,"Posluszny, Paul",JAC,CAR,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,10.0
145,"Seferian-Jenkins, Austin",TBB,TEN,TE,0.0,0.0,0.1,0.0,4.3,39.1,0.3,0.0,0.0,0.0,10.0
146,"Ivory, Chris",NYJ,CLE,RB,0.0,0.0,58.2,0.4,0.9,6.2,0.1,0.0,0.0,0.0,9.9
147,"Colston, Marques",NOR,@ARZ,WR,0.0,0.0,0.2,0.0,3.5,50.1,0.2,0.0,0.0,0.0,9.8
148,"Patriots, New England",NEP,PIT,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,9.7
149,"Wheaton, Markus",PIT,@NEP,WR,0.0,0.0,0.8,0.0,3.8,45.8,0.2,0.0,0.0,0.0,9.7
150,"Miller, Heath",PIT,@NEP,TE,0.0,0.0,0.0,0.0,4.2,47.7,0.1,0.0,0.0,0.0,9.6
151,"Woodhead, Danny",SDC,DET,RB,0.0,0.0,24.3,0.1,3.1,24.4,0.2,0.0,0.0,0.0,9.5
152,"Williams, Terrance",DAL,NYG,WR,0.0,0.0,0.2,0.0,2.2,41.8,0.5,0.0,0.0,0.0,9.4
153,"Wagner, Bobby",SEA,@STL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,9.3
154,"Jackson, Fred",SEA,@STL,RB,0.0,0.0,35.4,0.1,2.9,22.2,0.0,0.0,0.0,0.0,9.3
155,"Worrilow, Paul",ATL,PHI,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,9.3
156,"Broncos, Denver",DEN,BAL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,0.0,9.3
157,"Crabtree, Michael",OAK,CIN,WR,0.0,0.0,0.0,0.0,3.9,43.6,0.2,0.0,0.0,0.0,9.3
158,"Bowe, Dwayne",CLE,@NYJ,WR,0.0,0.0,0.1,0.0,3.8,49.3,0.1,0.0,0.0,0.0,9.3
159,"Rudolph, Kyle",MIN,@SFO,TE,0.0,0.0,0.0,0.0,3.5,38.1,0.3,0.0,0.0,0.0,9.2
160,"Mathieu, Tyrann",ARZ,NOR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,9.2
161,"Shorts, Cecil",HOU,KCC,WR,0.0,0.0,0.0,0.0,4.1,44.4,0.1,0.0,0.0,0.0,9.1
162,"Kuechly, Luke",CAR,@JAC,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.1
163,"Crosby, Mason",GBP,@CHI,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,9.1
164,"Quick, Brian",STL,SEA,WR,0.0,0.0,1.6,0.0,2.8,44.4,0.2,0.0,0.0,0.0,9.0
165,"Smith, Harrison",MIN,@SFO,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,9.0
166,"David, Lavonte",TBB,TEN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,9.0
167,"Ihedigbo, James",DET,@SDC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,8.9
168,"Cowboys, Dallas",DAL,NYG,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,0.0,8.9
169,"Eagles, Philadelphia",PHI,@ATL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,0.0,8.9
170,"Lee, Sean",DAL,NYG,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,8.8
171,"Douglas, Harry",TEN,@TBB,WR,0.0,0.0,0.0,0.0,3.4,42.4,0.2,0.0,0.0,0.0,8.8
172,"Gostkowski, Stephen",NEP,PIT,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,8.8
173,"Johnson, Derrick",KCC,@HOU,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,8.7
174,"Coleman, Brandon",NOR,@ARZ,WR,0.0,0.0,0.2,0.0,3.0,44.0,0.2,0.0,0.0,0.0,8.7
175,"Eifert, Tyler",CIN,@OAK,TE,0.0,0.0,0.0,0.0,3.4,29.2,0.4,0.0,0.0,0.0,8.6
176,"Jackson, D'qwell",IND,@BUF,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,8.6
177,"Timmons, Lawrence",PIT,@NEP,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,8.6
178,"Gillmore, Crockett",BAL,@DEN,TE,0.0,0.0,0.0,0.0,2.9,34.3,0.4,0.0,0.0,0.0,8.6
179,"Reed, Jordan",WAS,MIA,TE,0.0,0.0,0.2,0.0,4.1,41.2,0.1,0.0,0.0,0.0,8.6
180,"Jennings, Greg",MIA,@WAS,WR,0.0,0.0,0.1,0.0,3.2,40.6,0.2,0.0,0.0,0.0,8.5
181,"Jones, James",GBP,@CHI,WR,0.0,0.0,0.0,0.0,3.4,31.2,0.3,0.0,0.0,0.0,8.5
182,"Watson, Benjamin",NOR,@ARZ,TE,0.0,0.0,0.0,0.0,3.3,27.3,0.4,0.0,0.0,0.0,8.5
183,"Donnell, Larry",NYG,@DAL,TE,0.0,0.0,0.0,0.0,3.6,37.7,0.2,0.0,0.0,0.0,8.5
184,"McFadden, Darren",DAL,NYG,RB,0.0,0.0,36.9,0.2,2.1,16.5,0.0,0.0,0.0,0.0,8.4
185,"Jones, Marvin",CIN,@OAK,WR,0.0,0.0,0.9,0.0,2.9,36.9,0.3,0.0,0.0,0.0,8.4
186,"Cook, Jared",STL,SEA,TE,0.0,0.0,0.0,0.0,3.2,38.4,0.2,0.0,0.0,0.0,8.4
187,"Vinatieri, Adam",IND,@BUF,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.4
188,"Davis, Knile",KCC,@HOU,RB,0.0,0.0,29.3,0.3,1.5,13.1,0.1,0.0,0.0,0.0,8.4
189,"Redskins, Washington",WAS,MIA,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,8.4
190,"Lofton, Curtis",OAK,CIN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,8.4
191,"Prater, Matt",DET,@SDC,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,8.4
192,"Kearse , Jermaine",SEA,@STL,WR,0.0,0.0,1.0,0.0,2.6,41.5,0.3,0.0,0.0,0.0,8.3
193,"Collins, Jamie",NEP,PIT,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,8.3
194,"Harvin, Percy",BUF,IND,WR,0.0,0.0,7.1,0.0,3.1,36.4,0.1,0.0,0.0,0.0,8.3
195,"Church, Barry",DAL,NYG,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,8.3
196,"Sanu, Mohamed",CIN,@OAK,WR,0.0,0.0,3.1,0.0,2.7,37.1,0.2,0.0,0.0,0.0,8.2
197,"Kelce, Travis",KCC,@HOU,TE,0.0,0.0,0.0,0.0,3.2,40.3,0.2,0.0,0.0,0.0,8.2
198,"McManus, Brandon",DEN,BAL,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,8.2
199,"McCown, Joshua",CLE,@NYJ,QB,168.3,0.6,7.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,8.2
200,"Ogletree, Alec",STL,SEA,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.2
201,"Jenkins, Jelani",MIA,@WAS,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,8.2
202,"Ertz, Zach",PHI,@ATL,TE,0.0,0.0,0.0,0.0,3.0,35.1,0.3,0.0,0.0,0.0,8.2
203,"Alonso, Kiko",PHI,@ATL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,8.2
204,"Parkey, Cody",PHI,@ATL,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,8.1
205,"Parker, Preston",NYG,@DAL,WR,0.0,0.0,0.2,0.0,3.1,37.4,0.2,0.0,0.0,0.0,8.1
206,"Folk, Nick",NYJ,CLE,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,8.0
207,"Barnidge, Gary",CLE,@NYJ,TE,0.0,0.0,0.0,0.0,2.8,40.2,0.2,0.0,0.0,0.0,8.0
208,"Houston, Justin",KCC,@HOU,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,8.0
209,"Vereen, Shane",NYG,@DAL,RB,0.0,0.0,28.2,0.1,2.3,18.1,0.0,0.0,0.0,0.0,8.0
210,"Giants, New York",NYG,@DAL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,7.9
211,"Bryant, Matt",ATL,PHI,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,7.9
212,"Tucker, Justin",BAL,@DEN,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.9
213,"Greenway, Chad",MIN,@SFO,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,7.9
214,"Mosley, C.J.",BAL,@DEN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,7.9
215,"Rolle, Antrel",CHI,GBP,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,7.9
216,"Ebron, Eric",DET,@SDC,TE,0.0,0.0,0.0,0.0,3.4,29.7,0.2,0.0,0.0,0.0,7.9
217,"Latimer, Cody",DEN,BAL,WR,0.0,0.0,0.0,0.0,3.5,36.1,0.1,0.0,0.0,0.0,7.9
218,"Kendricks, Eric",MIN,@SFO,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,7.9
219,"Levy, DeAndre",DET,@SDC,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,7.9
220,"McDonald, T.J.",STL,SEA,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,7.8
221,"Quin, Glover",DET,@SDC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,7.8
222,"Steelers, Pittsburgh",PIT,@NEP,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,0.0,7.8
223,"Laurinaitis, James ",STL,SEA,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,7.8
224,"Burnett, Morgan",GBP,@CHI,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,7.8
225,"Davis, Vernon",SFO,MIN,TE,0.0,0.0,0.2,0.0,2.3,30.2,0.4,0.0,0.0,0.0,7.8
226,"Streater, Rod",OAK,CIN,WR,0.0,0.0,0.8,0.0,2.8,35.1,0.2,0.0,0.0,0.0,7.8
227,"Allen, Dwayne",IND,@BUF,TE,0.0,0.0,0.0,0.0,2.4,27.0,0.4,0.0,0.0,0.0,7.8
228,"Vaccaro, Kenny",NOR,@ARZ,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,7.7
229,"Dawson, Phil",SFO,MIN,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,7.7
230,"Hurns, Allen",JAC,CAR,WR,0.0,0.0,0.0,0.0,3.0,34.8,0.2,0.0,0.0,0.0,7.7
231,"Hauschka, Steven",SEA,@STL,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,7.6
232,"Sproles, Darren",PHI,@ATL,RB,0.0,0.0,18.4,0.3,2.1,18.3,0.0,0.0,0.0,0.0,7.6
233,"Adams, Mike",IND,@BUF,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,7.6
234,"Jennings, Rashad",NYG,@DAL,RB,0.0,0.0,33.6,0.2,1.7,11.8,0.0,0.0,0.0,0.0,7.6
235,"Smith, Telvin",JAC,CAR,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,7.6
