"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","J.J. Nelson",3000,"Ari@Chi 01:00PM ET",0,"Ari"
"WR","Andre Holmes",3000,"Bal@Oak 04:05PM ET",8.956,"Oak"
"WR","Corey Fuller",3000,"Det@Min 01:00PM ET",2.635,"Det"
"WR","Geremy Davis",3000,"Atl@NYG 01:00PM ET",0,"NYG"
"RB","Jamize Olawale",3000,"Bal@Oak 04:05PM ET",1.175,"Oak"
"WR","Cameron Meredith",3000,"Ari@Chi 01:00PM ET",0,"Chi"
"RB","Antonio Andrews",3000,"Ten@Cle 01:00PM ET",0.775,"Ten"
"WR","Chris Hogan",3000,"NE@Buf 01:00PM ET",6.600,"Buf"
"WR","Corey Brown",3000,"Hou@Car 01:00PM ET",5.880,"Car"
"RB","Zach Zenner",3000,"Det@Min 01:00PM ET",0,"Det"
"RB","Terrence Magee",3000,"Bal@Oak 04:05PM ET",0,"Bal"
"RB","Terron Ward",3000,"Atl@NYG 01:00PM ET",0,"Atl"
"WR","Willie Snead",3000,"TB@NO 01:00PM ET",0,"NO"
"WR","Quinton Patton",3000,"SF@Pit 01:00PM ET",2.100,"SF"
"WR","Sammie Coates",3000,"SF@Pit 01:00PM ET",0,"Pit"
"RB","Ka'Deem Carey",3000,"Ari@Chi 01:00PM ET",1.893,"Chi"
"WR","Rashad Ross",3000,"StL@Was 01:00PM ET",0.000,"Was"
"WR","Ty Montgomery",3000,"Sea@GB 08:30PM ET",0,"GB"
"WR","Jamison Crowder",3000,"StL@Was 01:00PM ET",0,"Was"
"WR","Darren Waller",3000,"Bal@Oak 04:05PM ET",0,"Bal"
"WR","Adam Humphries",3000,"TB@NO 01:00PM ET",0,"TB"
"RB","Alonzo Harris",3000,"Sea@GB 08:30PM ET",0,"GB"
"WR","Bruce Ellington",3000,"SF@Pit 01:00PM ET",2.538,"SF"
"RB","Aaron Ripkowski",3000,"Sea@GB 08:30PM ET",0,"GB"
"WR","Bradley Marquez",3000,"StL@Was 01:00PM ET",0,"StL"
"RB","Thomas Rawls",3000,"Sea@GB 08:30PM ET",0,"Sea"
"WR","Devin Smith",3000,"NYJ@Ind 08:30PM ET",0,"NYJ"
"RB","Josh Robinson",3000,"NYJ@Ind 08:30PM ET",0,"Ind"
"WR","Brittan Golden",3000,"Ari@Chi 01:00PM ET",0,"Ari"
"WR","Tyrell Williams",3000,"SD@Cin 01:00PM ET",0,"SD"
"RB","Tyler Varga",3000,"NYJ@Ind 08:30PM ET",0,"Ind"
"WR","Cordarrelle Patterson",3000,"Det@Min 01:00PM ET",6.069,"Min"
"WR","Chris Harper",3000,"NE@Buf 01:00PM ET",0,"NE"
"RB","Damien Williams",3000,"Mia@Jax 04:05PM ET",3.619,"Mia"
"WR","Stefon Diggs",3000,"Det@Min 01:00PM ET",0,"Min"
"RB","Lorenzo Taliaferro",3000,"Bal@Oak 04:05PM ET",5.508,"Bal"
"WR","Seth Roberts",3000,"Bal@Oak 04:05PM ET",0,"Oak"
"RB","Cameron Artis-Payne",3000,"Hou@Car 01:00PM ET",0,"Car"
"WR","Lucky Whitehead",3000,"Dal@Phi 04:25PM ET",0,"Dal"
"WR","Adam Thielen",3000,"Det@Min 01:00PM ET",1.731,"Min"
"RB","Khiry Robinson",3000,"TB@NO 01:00PM ET",6.650,"NO"
"WR","Mario Alford",3000,"SD@Cin 01:00PM ET",0,"Cin"
"WR","Taylor Gabriel",3000,"Ten@Cle 01:00PM ET",6.569,"Cle"
"WR","Jeff Janis",3000,"Sea@GB 08:30PM ET",1.200,"GB"
"WR","Seantavius Jones",3000,"TB@NO 01:00PM ET",0,"NO"
"DST","Bills ",2900,"NE@Buf 01:00PM ET",10.938,"Buf"
"DST","Texans ",2900,"Hou@Car 01:00PM ET",10.875,"Hou"
"DST","Browns ",2900,"Ten@Cle 01:00PM ET",8.188,"Cle"
"DST","Lions ",2900,"Det@Min 01:00PM ET",8.235,"Det"
"DST","Colts ",2900,"NYJ@Ind 08:30PM ET",7.737,"Ind"
"DST","Patriots ",2900,"NE@Buf 01:00PM ET",9.000,"NE"
"DST","Ravens ",2900,"Bal@Oak 04:05PM ET",8.833,"Bal"
"DST","Cowboys ",2800,"Dal@Phi 04:25PM ET",7.389,"Dal"
"DST","Vikings ",2800,"Det@Min 01:00PM ET",8.000,"Min"
"DST","Saints ",2800,"TB@NO 01:00PM ET",4.313,"NO"
"DST","Jets ",2800,"NYJ@Ind 08:30PM ET",4.688,"NYJ"
"DST","Cardinals ",2800,"Ari@Chi 01:00PM ET",8.941,"Ari"
"DST","Steelers ",2800,"SF@Pit 01:00PM ET",7.353,"Pit"
"DST","Chargers ",2800,"SD@Cin 01:00PM ET",6.438,"SD"
"TE","David Johnson",2800,"SD@Cin 01:00PM ET",0.100,"SD"
"DST","Falcons ",2700,"Atl@NYG 01:00PM ET",6.438,"Atl"
"DST","Eagles ",2700,"Dal@Phi 04:25PM ET",11.813,"Phi"
"DST","49ers ",2700,"SF@Pit 01:00PM ET",7.938,"SF"
"DST","Redskins ",2700,"StL@Was 01:00PM ET",4.063,"Was"
"TE","Lance Kendricks",2700,"StL@Was 01:00PM ET",5.181,"StL"
"DST","Bears ",2600,"Ari@Chi 01:00PM ET",6.563,"Chi"
"DST","Giants ",2600,"Atl@NYG 01:00PM ET",6.938,"NYG"
"DST","Buccaneers ",2600,"TB@NO 01:00PM ET",6.625,"TB"
"DST","Jaguars ",2600,"Mia@Jax 04:05PM ET",6.938,"Jax"
"TE","Scott Chandler",2600,"NE@Buf 01:00PM ET",7.356,"NE"
"TE","Jermaine Gresham",2600,"Ari@Chi 01:00PM ET",9.200,"Ari"
"TE","Josh Hill",2600,"TB@NO 01:00PM ET",3.850,"NO"
"TE","Mike Leach",2500,"Ari@Chi 01:00PM ET",0.000,"Ari"
"TE","Daniel Fells",2500,"Atl@NYG 01:00PM ET",3.613,"NYG"
"TE","Craig Stevens",2500,"Ten@Cle 01:00PM ET",0.920,"Ten"
"TE","Marcedes Lewis",2500,"Mia@Jax 04:05PM ET",6.325,"Jax"
"TE","Matt Spaeth",2500,"SF@Pit 01:00PM ET",0.975,"Pit"
"TE","Clark Harris",2500,"SD@Cin 01:00PM ET",0.000,"Cin"
"TE","Anthony Fasano",2500,"Ten@Cle 01:00PM ET",4.773,"Ten"
"TE","Jacob Tamme",2500,"Atl@NYG 01:00PM ET",2.244,"Atl"
"TE","Brent Celek",2500,"Dal@Phi 04:25PM ET",4.625,"Phi"
"TE","Zach Miller",2500,"Ari@Chi 01:00PM ET",0,"Chi"
"TE","Brandon Pettigrew",2500,"Det@Min 01:00PM ET",1.273,"Det"
"TE","Kellen Davis",2500,"NYJ@Ind 08:30PM ET",0.000,"NYJ"
"TE","Brandon Myers",2500,"TB@NO 01:00PM ET",2.929,"TB"
"TE","Darren Fells",2500,"Ari@Chi 01:00PM ET",1.745,"Ari"
"TE","Gary Barnidge",2500,"Ten@Cle 01:00PM ET",2.200,"Cle"
"TE","Clay Harbor",2500,"Mia@Jax 04:05PM ET",4.685,"Jax"
"TE","Ed Dickson",2500,"Hou@Car 01:00PM ET",2.067,"Car"
"TE","Chase Coffman",2500,"Ten@Cle 01:00PM ET",1.415,"Ten"
"TE","Garrett Graham",2500,"Hou@Car 01:00PM ET",3.973,"Hou"
"TE","Andrew DePaola",2500,"TB@NO 01:00PM ET",0.000,"TB"
"TE","Richie Brockel",2500,"Hou@Car 01:00PM ET",0.000,"Car"
"TE","Anthony McCoy",2500,"StL@Was 01:00PM ET",0,"Was"
"TE","Jim Dray",2500,"Ten@Cle 01:00PM ET",2.950,"Cle"
"TE","John Phillips",2500,"SD@Cin 01:00PM ET",0.444,"SD"
"TE","Rob Housler",2500,"Ten@Cle 01:00PM ET",1.375,"Cle"
"TE","Kyle Nelson",2500,"SF@Pit 01:00PM ET",0.000,"SF"
"TE","Matthew Mulligan",2500,"NE@Buf 01:00PM ET",0.000,"Buf"
"TE","Jeff Cumberland",2500,"NYJ@Ind 08:30PM ET",4.106,"NYJ"
"TE","Michael Hoomanawanui",2500,"NE@Buf 01:00PM ET",0.961,"NE"
"TE","Lee Smith",2500,"Bal@Oak 04:05PM ET",1.229,"Oak"
"TE","Luke Stocker",2500,"TB@NO 01:00PM ET",0.854,"TB"
"TE","Andrew Quarless",2500,"Sea@GB 08:30PM ET",5.133,"GB"
"TE","Rhett Ellison",2500,"Det@Min 01:00PM ET",2.988,"Min"
"TE","Garrett Celek",2500,"SF@Pit 01:00PM ET",2.433,"SF"
"TE","James Hanna",2500,"Dal@Phi 04:25PM ET",0.489,"Dal"
"TE","Mychal Rivera",2500,"Bal@Oak 04:05PM ET",8.588,"Oak"
"TE","Cory Harkey",2500,"StL@Was 01:00PM ET",1.344,"StL"
"TE","Beau Brinkley",2500,"Ten@Cle 01:00PM ET",0.000,"Ten"
"TE","Kevin McDermott",2500,"Det@Min 01:00PM ET",0.000,"Min"
"TE","MarQueis Gray",2500,"NE@Buf 01:00PM ET",1.723,"Buf"
"TE","Tim Wright",2500,"Det@Min 01:00PM ET",4.872,"Det"
"TE","Ryan Griffin",2500,"Hou@Car 01:00PM ET",1.569,"Hou"
"TE","Michael Williams",2500,"NE@Buf 01:00PM ET",0,"NE"
"TE","Chris Gragg",2500,"NE@Buf 01:00PM ET",1.780,"Buf"
"TE","Luke Willson",2500,"Sea@GB 08:30PM ET",5.947,"Sea"
"TE","Joseph Fauria",2500,"Ari@Chi 01:00PM ET",3.057,"Ari"
"TE","Jack Doyle",2500,"NYJ@Ind 08:30PM ET",2.637,"Ind"
"TE","Vance McDonald",2500,"SF@Pit 01:00PM ET",0.500,"SF"
"TE","Ryan Hewitt",2500,"SD@Cin 01:00PM ET",1.488,"Cin"
"TE","Levine Toilolo",2500,"Atl@NYG 01:00PM ET",4.113,"Atl"
"TE","Gabe Holmes",2500,"Bal@Oak 04:05PM ET",0,"Oak"
"TE","Gavin Escobar",2500,"Dal@Phi 04:25PM ET",2.417,"Dal"
"TE","Dion Sims",2500,"Mia@Jax 04:05PM ET",4.600,"Mia"
"TE","Jerome Cunningham",2500,"Atl@NYG 01:00PM ET",0,"NYG"
"TE","Nic Jacobs",2500,"Mia@Jax 04:05PM ET",0.738,"Jax"
"TE","Brandon Williams",2500,"Hou@Car 01:00PM ET",0.525,"Car"
"TE","Cooper Helfet",2500,"Sea@GB 08:30PM ET",3.864,"Sea"
"TE","Crockett Gillmore",2500,"Bal@Oak 04:05PM ET",2.300,"Bal"
"TE","Trey Burton",2500,"Dal@Phi 04:25PM ET",0.067,"Phi"
"TE","Blake Bell",2500,"SF@Pit 01:00PM ET",0,"SF"
"TE","MyCole Pruitt",2500,"Det@Min 01:00PM ET",0,"Min"
"TE","Chase Ford",2500,"Det@Min 01:00PM ET",4.982,"Min"
"TE","Clive Walford",2500,"Bal@Oak 04:05PM ET",0,"Oak"
"TE","C.J. Fiedorowicz",2500,"Hou@Car 01:00PM ET",0.853,"Hou"
"TE","Kyle Miller",2500,"SD@Cin 01:00PM ET",0,"SD"
"TE","Tyler Kroft",2500,"SD@Cin 01:00PM ET",0,"Cin"
"TE","C.J. Uzomah",2500,"SD@Cin 01:00PM ET",0,"Cin"
"TE","Richard Rodgers",2500,"Sea@GB 08:30PM ET",3.906,"GB"
"TE","Nick Boyle",2500,"Bal@Oak 04:05PM ET",0,"Bal"
"TE","Kennard Backman",2500,"Sea@GB 08:30PM ET",0,"GB"
"TE","Troy Niklas",2500,"Ari@Chi 01:00PM ET",0.971,"Ari"
"TE","Phillip Supernaw",2500,"Ten@Cle 01:00PM ET",0.750,"Ten"
"TE","Maxx Williams",2500,"Bal@Oak 04:05PM ET",0,"Bal"
"TE","Jesse James",2500,"SF@Pit 01:00PM ET",0,"Pit"
"TE","Derek Carrier",2500,"StL@Was 01:00PM ET",1.791,"Was"
"TE","Geoff Swaim",2500,"Dal@Phi 04:25PM ET",0,"Dal"
"TE","E.J. Bibbs",2500,"Ten@Cle 01:00PM ET",0,"Cle"
"TE","Khari Lee",2500,"Ari@Chi 01:00PM ET",0,"Chi"
"DST","Raiders ",2400,"Bal@Oak 04:05PM ET",3.813,"Oak"
